Product,Quantity,Price,Category
Tang Mango Powder,500 gm,৳ 400,Beverage
Tang Lemon Powder,500 gm,৳ 400,Beverage
Tang Pineapple Powder,500 gm,৳ 400,Beverage
SMC Taste Me Lychee Box,200 gm,৳ 70,Beverage
SMC Taste Me Orange Box,200 gm,৳ 70,Beverage
SMC Taste Me Mango Box,200 gm,৳ 70,Beverage
Dekko Fruit Drop Mango Powder Drinks,250 gm,৳ 100,Beverage
Foster Clark's Choco Drink Tin,500 gm,৳ 475,Beverage
Pepsi Diet Pet,500 ml,৳ 35,Beverage
Coca-Cola,600 ml,৳ 40,Beverage
Coca-Cola,1.25 ltr,৳ 70,Beverage
Coke Light Can,250 ml,৳ 40,Beverage
Coca-Cola Can,250 ml,৳ 40,Beverage
Coca-Cola,2.25 ltr,৳ 110,Beverage
Sprite,600 ml,৳ 35,Beverage
7 Up Pet,1 ltr,৳ 50,Beverage
Mountain Dew,1 ltr,৳ 50,Beverage
Mountain Dew,400 ml,৳ 30,Beverage
Sprite,1.25 ltr,৳ 65,Beverage
Pepsi Pet,2 ltr,৳ 100,Beverage
Sprite,2.25 ltr,৳ 110,Beverage
Pepsi,500 ml,৳ 30,Beverage
Pepsi Pet,1 ltr,৳ 50,Beverage
7 Up Pet,500 ml,৳ 35,Beverage
Fanta,1.25 ltr,৳ 65,Beverage
Pepsi Diet Can,250 ml,৳ 40,Beverage
Sprite Can,250 ml,৳ 40,Beverage
Fresh Club 9 Soda,500 ml,৳ 30,Beverage
Fanta,600 ml,৳ 35,Beverage
Amul Lassi,250 ml,৳ 100,Beverage
Fresh Mejanda,250 ml,৳ 15,Beverage
7 Up Can,250 ml,৳ 40,Beverage
Mirinda Orange,500 ml,৳ 35,Beverage
Amul Pinacolada Mocktail Can,200 ml,৳ 125,Beverage
Mirinda Orange,1 ltr,৳ 50,Beverage
Mountain Dew Can,250 ml,৳ 40,Beverage
Fanta Can,250 ml,৳ 40,Beverage
Frutika Mango Juice,1 ltr,৳ 80,Beverage
Mirinda Can,250 ml,৳ 40,Beverage
Pepsi Can,250 ml,৳ 40,Beverage
Fresh Dhoom Cola,1 ltr,৳ 50,Beverage
Sharbat-E-Ala,750 ml,৳ 300,Beverage
Sharbat-E-Ala,300 ml,৳ 170,Beverage
7 Up Can,320 ml,৳ 150,Beverage
Fanta Strawberry Can,320 ml,৳ 140,Beverage
Pran Up,500 ml,৳ 25,Beverage
Pran Up,1 ltr,৳ 50,Beverage
Fresh Soul Up,250 ml,৳ 15,Beverage
Wings Lemon,1 ltr,৳ 50,Beverage
Wings Lemon,500 ml,৳ 25,Beverage
Clemon Can,250 ml,৳ 25,Beverage
Dolphin Nata De Coco Lychee Drink,350 ml,৳ 125,Beverage
Basil Seed Drink (Mixed Fruit),290 ml,৳ 105,Beverage
Basil Seed Drink (Lemon),290 ml,৳ 105,Beverage
Basil Seed Drink (Pineapple),290 ml,৳ 110,Beverage
Basil Seed Drink (Lychee),290 ml,৳ 105,Beverage
Basil Seed Drink (Mango),290 ml,৳ 105,Beverage
Basil Seed Drink (Orange),290 ml,৳ 105,Beverage
Super Fresh Drinking Water,2 ltr,৳ 30,Beverage
Mum Drinking Water,2 ltr,৳ 30,Beverage
Mum Drinking Water,5 ltr,৳ 75,Beverage
Aquafina Drinking Water,1.5 ltr,৳ 25,Beverage
Pureit Classic Germ Kill Kit,3000 ltr,"৳ 1,200",Beverage
Pureit Classic Germ Kill Kit,1500 ltr,৳ 700,Beverage
Aquafina Drinking Water,500 ml,৳ 15,Beverage
